timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1679917166804,58212,S01_ACC_01_Launch,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Number of samples in transaction : 15, number of failing samples : 15",Thread_Group_Add_Cart_Checkout 1-1,,false,,40452,0,1,1,null,0,28164,58205
1679917194935,4132,-53 localhost,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:80 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread_Group_Add_Cart_Checkout 1-1,text,false,,2739,0,1,1,http://localhost/,0,0,4131
1679917199074,4067,-69 header message,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread_Group_Add_Cart_Checkout 1-1,text,false,,2741,0,1,1,http://localhost:8080/api/v1/content/boxes/headerMessage/?lang=en,0,0,4067
1679917203144,4078,-72 ping,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread_Group_Add_Cart_Checkout 1-1,text,false,,2741,0,1,1,http://localhost:8080/actuator/health/ping,0,0,4077
1679917207223,4094,-73 featured_item,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread_Group_Add_Cart_Checkout 1-1,text,false,,2741,0,1,1,http://localhost:8080/api/v1/products/group/FEATURED_ITEM?store=DEFAULT&lang=en,0,0,4094
1679917211320,4093,-77 store,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread_Group_Add_Cart_Checkout 1-1,text,false,,2741,0,1,1,http://localhost:8080/api/v1/store/DEFAULT,0,0,4093
1679917215414,4101,-78 category,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread_Group_Add_Cart_Checkout 1-1,text,false,,2741,0,1,1,http://localhost:8080/api/v1/category/?count=20&page=0&store=DEFAULT&lang=en,0,0,4101
1679917219517,4088,-79 content,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread_Group_Add_Cart_Checkout 1-1,text,false,,2741,0,1,1,http://localhost:8080/api/v1/content/pages/?page=0&count=20&store=DEFAULT&lang=en,0,0,4088
1679917223607,4091,-86 p1_price_1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread_Group_Add_Cart_Checkout 1-1,text,false,,2741,0,1,1,http://localhost:8080/api/v1/product/1/price/,0,0,4091
1679917227699,4074,-87 p50_price_1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread_Group_Add_Cart_Checkout 1-1,text,false,,2741,0,1,1,http://localhost:8080/api/v1/product/50/price/,0,0,4074
1679917231775,4077,-88 p51_price_1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread_Group_Add_Cart_Checkout 1-1,text,false,,2741,0,1,1,http://localhost:8080/api/v1/product/51/price/,0,0,4077
1679917235854,4084,-89p52_price_1,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread_Group_Add_Cart_Checkout 1-1,text,false,,2741,0,1,1,http://localhost:8080/api/v1/product/52/price/,0,0,4083
1679917239940,4071,-90 p1_price_2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread_Group_Add_Cart_Checkout 1-1,text,false,,2741,0,1,1,http://localhost:8080/api/v1/product/1/price/,0,0,4071
1679917244013,4073,-91 p50_price_2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread_Group_Add_Cart_Checkout 1-1,text,false,,2741,0,1,1,http://localhost:8080/api/v1/product/50/price/,0,0,4073
1679917248089,4072,-92p51_price_2,Non HTTP response code: org.apache.http.conn.HttpHostConnectException,"Non HTTP response message: Connect to localhost:8080 [localhost/127.0.0.1, localhost/0:0:0:0:0:0:0:1] failed: Connection refused: connect",Thread_Group_Add_Cart_Checkout 1-1,text,false,,2741,0,1,1,http://localhost:8080/api/v1/product/51/price/,0,0,4072
